Title,Tags,Body,ViewCount,CreationDate,CommentCount,AnswerCount,PostType,AnswerTitle,AnswerBody
"Squeak or Pharo for the beginning Smalltalker?","<smalltalk><squeak><pharo>","<p>I am a Rubyist that is just starting to dabble in Smalltalk and am trying to chose an implementation to experiment with. It seems like Squeak or Pharo would be a good choice, but I'm having trouble finding current information to help decide which one would be better. Much of what I find via Google searches is from a couple of years ago and may no longer be relevant.</p>

<p>Is there a clear favorite these days? If not, what are the pros and cons of each?</p>
","17391","2011-12-08 06:17:36","0","8","Question","","<p>To certain extent, it is a matter of personal taste. Pharo is fork of Squeak intended make it more modern version of Smalltalk, sometimes at expense of not sticking to backward compatibility to Squeak. </p>

<p>Pharo being a fork, also means that they share much in common, from VM to huge parts of class library. Many add on packages work with both of them, and some are developed with Squeak as primary dev platform and I guess a slightly larger number of them are developed in Pharo (Seaside, Pier, etc). Both variants have free intro books: Squeak by Example, and Pharo by Example, but Pharo one seems more up to date.</p>

<p>Personally I prefer Pharo since it gives me cleaner and more modern feeling. </p>
"
"Smalltalk - Is it possible to add a string to a String instance via a method?","<smalltalk><pharo>","<p>Smalltalk - Is it possible to add a string to a String instance via a method?</p>

<p>Essentially I'd like something along the lines of:</p>

<pre><code>renderThisOn: aString

aString append: 'whatever text I want'
</code></pre>

<p>Essentially I'd like a String instance (ByteString, etc) to behave like the ""html"" object in Seaside. I pass it on as an argument to multiple methods, each adding some information to it.</p>
","9430","2015-02-14 18:57:06","0","4","Question","","<p>From a practical viewpoint the answer would be no, it is not possible to change the size of a String. You can modify the characters of the String though:</p>

<pre><code>a := 'abc'.
a at: 2 put: $x.
a = 'axc' ""true""
</code></pre>

<p>Therefore, when you concatenate two strings you get a third one, while the others two remain unchanged</p>

<pre><code>s := 'abc'.
t := 'def'.
u := s , t.
s = 'abc'. ""true""
t = 'def'. ""true""
</code></pre>

<p>Having said this, there is actually a way to do grow (or shrink) a String. The idea is to use <code>become:</code> (or <code>becomeForward:</code>). This message will replace all references to the receiver with references to the argument. In your case:</p>

<pre><code>s := 'abc'.
t := 'def'.
assoc := s -&gt; 3 ""referene to s""
s become: s , t.
s = 'abcdef'. ""true""
assoc key == s ""true""
</code></pre>

<p>The reason why I started my answer by saying that you cannot change the string's size is because in the vast majority of cases the use of <code>become:</code> is overkilling and the recommended practice is to review the code and eliminate the need for modifying the structure of an object.</p>
"
"Check if an object is an instance of a given class or of a subclass of it","<smalltalk><pharo>","<p>Is there an easy way to do this in Smalltalk? I'm 80% sure that there is some method but can't find it anywhere.</p>

<p>I know that I can use</p>

<pre><code>(instance class = SomeClass) ifTrue:
</code></pre>

<p>And I know that I can use <code>superclass</code> etc... but I hope that there is something built in :)</p>
","8886","2012-12-08 16:54:25","0","2","Question","","<p>To test whether anObject is instance of aClass:</p>

<pre><code>(anObject isMemberOf: aClass)
</code></pre>

<p>To test whether it is an instance of aClass or one of it subclasses:</p>

<pre><code>(anObject isKindOf: aClass)
</code></pre>
"
"How to print an integer to transcript","<smalltalk><pharo>","<p>I've tried the code</p>

<pre><code>|myNum|
myNum := SmallInteger new: 0.
Transcript show: (myNum printString).
</code></pre>

<p>, but Pharo crashes upon running this code.</p>
","7546","2013-12-16 21:19:54","2","2","Question","","<p>You can't create a SmallInteger using <code>new:</code>. You already have the number you want to print. It's already a SmallInteger. Just use it like such:</p>

<pre><code>Transcript show: 0 printString
</code></pre>
"
"Regex: Matching all words in a phrase","<c#><regex><string><smalltalk><pharo>","<p>Is this possible?</p>

<p>For a sentence such as <code>hello how are you</code>, I'd like my regular expression to return <code>hello</code> <code>how</code> <code>are</code> <code>you</code>. It only ever returns just <code>hello</code> and not the other words.</p>

<p>My Regex: </p>

<pre><code>[A-Za-z]*
</code></pre>

<p>Any help is greatly appreciated. Thanks!
If it matters, I'm using Pharo Smalltalk. I've been testing in <a href=""/questions/tagged/c%23"" class=""post-tag"" title=""show questions tagged &#39;c#&#39;"" rel=""tag"">c#</a> too.</p>
","6907","2016-02-23 17:24:30","0","5","Question","","<p>If you only need split the sentence by spaces this can be done using <code>string.Split()</code> method:</p>

<pre><code>var s = ""hello how are you"";
var words = s.Split();
</code></pre>

<p>If you want to use regular expressions:</p>

<pre><code>var s = ""hello how are you"";
var regex = ""\\w+"";
var words = Regex.Matches(s, regex).Cast&lt;Match&gt;().Select(m =&gt; m.Value);
</code></pre>
"
"What is the difference between self and yourself in Smalltalk?","<smalltalk><pharo><squeak><visualworks><amber-smalltalk>","<p>In Smalltalk, there are two terms often found within a method body: <code>self</code> and <code>yourself</code>.</p>

<p>What is the difference between them?</p>
","6381","2015-11-22 00:09:36","0","2","Question","","<p>The reserved word <code>self</code> is a pseudo variable (you cannot assign to it) that refers to the current receiver of the method where it is used. On the other side <code>yourself</code> is a message you can send to any object to get that very same object.</p>

<p>The implementation of <code>yourself</code> is</p>

<pre><code>yourself
    ^self
</code></pre>

<p>meaning that the message <code>yourself</code> will behave as I just explained.</p>

<p>The reason why <code>yourself</code> exists is to support message cascading, where you put it as the last message to make sure the resulting expression will answer with the receiver:</p>

<pre><code>^receiver
   msg1;
   msg2;
   yourself
</code></pre>

<p>If <code>msg2</code> might answer with something different from the <code>receiver</code> you can append the <code>yourself</code> message to ignore that answer and return <code>receiver</code> instead. Of course you could have achieved the same result by writing:</p>

<pre><code>receiver
   msg1;
   msg2.
^receiver
</code></pre>

<p>Because of the simplicity of these two examples, it might be hard to understand what the advantage would be. However, consider that <code>receiver</code> is not a variable but a complex expression, something like.</p>

<pre><code>^(self msg: arg1 arg: arg2)
   msg1;
   msg2;
   yourself.
</code></pre>

<p>Without using <code>yourself</code> you would have to add a temporary to save the value of the receiver to achieve the same:</p>

<pre><code>| answer |
answer := self msg: arg1 arg: arg2.
answer
   msg1;
   msg2.
^answer
</code></pre>

<p>which is a little bit more verbose.</p>

<p>To summarize, <code>self</code> is a reserved word that refers to the current receiver and <code>yourself</code> is just a regular method that is there just for convenience.</p>
"
"Smalltalk initialization variables","<smalltalk><pharo>","<p>In languages like Java and C++ we give parameters to constructors.</p>

<p>How do you do this in Pharo Smalltalk?</p>

<p>I want something like </p>

<pre><code>|aColor|
aColor = Color new 'red'.
</code></pre>

<p>Or is this bad practice and should I always do</p>

<pre><code>|aColor|
aColor = Color new.
aColor name:= red.d
</code></pre>
","5949","2013-01-08 21:49:17","0","2","Question","","<p>The short answer is that you can do pretty much the same in Smalltalk. From the calling code it would look like:</p>

<pre><code>aColor := Color named: 'Red'.
</code></pre>

<p>The long answer is that in Smalltalk you don't have constructors, at least not in the sense that you have a special message named after the class. What you do in Smalltalk is defining class-side messages (i.e. messages understood by the class, not the instance[*]) where you can instantiate and configure your instances. Assuming that your <code>Color</code> class has a <code>name</code> instance variable and a setter for it, the <code>#named:</code> method would be implemented like:</p>

<pre><code>(class) Color&gt;&gt;named: aName
| color |
color := self new.
color name: aName.
^color.
</code></pre>

<p>Some things to note:</p>

<ul>
<li>We are using the <code>#new</code> message sent to the class to create a new instance. You can think of the <code>#new</code> message as the primitive way for creating objects (hint: you can browse the implementors of the <code>#new</code> message to see how it is implemented).</li>
<li>We can define as many class methods as we want to create new 'configured' instances (e.g. <code>Color fromHexa:</code>) or return pre-created ones (e.g. <code>Color blue</code>).</li>
<li>You can still create an uninitialized instance by doing <code>Color new</code>. If you want to forbid that behavior then you must override the <code>#new</code> class message.</li>
</ul>

<p>There are many good books that you can read about Smalltalk basics at <a href=""http://stephane.ducasse.free.fr/FreeBooks.html"">Stef's Free Online Smalltalk Books</a></p>

<p>[*] This is quite natural due to the orthogonal nature on Smalltalk, since everything (including classes) is an object. If you are interested check Chapter 13 of <a href=""http://pharobyexample.org/"">Pharo by Example</a> or any other reference to classes and metaclasses in Smalltalk.</p>

<p>HTH</p>
"
"How to learn Pharo","<smalltalk><pharo>","<p>I installed Pharo 1.4 and tried to read ""Pharo by example"". </p>

<p>Unfortunately, the book and the Pharo image were totally out of synch with each other: menus were different; classes used as examples were not there e.g; BouncingAtomsMorph class. </p>

<p>It is a pity.  Maybe one should use a specific Pharo version to learn and another to get up to date...can anyone help?    </p>
","5894","2013-01-19 07:50:44","5","4","Question","",""
"For loop for array in Pharo Smalltalk","<oop><smalltalk><pharo>","<p>I'm trying to make an array with random numbers (just 0 or 1), but when I run it, it just prints this:  End of statement list encountered -></p>

<p>This is my code:</p>

<pre><code>GenList
 | lista |
  lista := Array new: 31.
  1 to: 30 do: [ :i | lista at: i put: 2 atRandom - 1]
  ^lista
</code></pre>

<p>What can I do?</p>
","5795","2017-07-04 18:05:43","2","1","Question","","<h1>Some interesting things to consider:</h1>

<hr>

<p><em>1. The method selector doesn't start with a lowercase letter</em></p>

<hr>

<p>It is a tradition for selectors to start with a lowercase letter. In this sense, <code>genLista</code> would be more correct than <code>GenLista</code>.</p>

<hr>

<p><em>2. The method selector includes the abbreviated word 'gen'</em></p>

<hr>

<p>For instance, <code>genLista</code> could be renamed to <code>genereLista</code> o <code>listaAlAzar</code> (if you decide to use Spanish)</p>

<hr>

<p><em>3. The <code>Array</code> named <code>lista</code> has 31 elements, not 30</em></p>

<hr>

<p>The result of <code>Array new: 31</code> is an array of 31 elements. However, the code below it only fills 30 of them, leaving the last one uninitialized (i.e., <code>nil</code>). Possible solution: <code>lista := Array new: 30</code>.</p>

<hr>

<p><em>4. A dot is missing causing a compilation error</em></p>

<hr>

<p>The code</p>

<pre><code>  1 to: 30 do: [ :i | lista at: i put: 2 atRandom - 1]
  ^lista
</code></pre>

<p>does not compile because there is no dot indicating the separation between the two sentences. Note that the error happens at compilation time (i.e., when you save the method) because the return token <code>^</code> must start a statement (i.e., it cannot be inlined inside a statement).</p>

<p>There are other cases where a missing dot will not prevent the code from compiling. Instead, an error will happen at runtime. Here is a (typical) example:</p>

<pre><code>1 to: 10 do: [:i | self somethingWith: i]     ""&lt;- missing dot here""
self somethingElse
</code></pre>

<p>the missing dot will generate the runtime error <code>self not understood by block</code>.</p>

<hr>

<p><em>5. There is a more expressive way of generating 0s and 1s at random</em></p>

<hr>

<p>The calculation <code>2 atRandom - 1</code> is ok. However, it forces the reader to mentally do the math. A better way to reveal your intention would have been</p>

<pre><code>#(0 1) atRandom
</code></pre>

<hr>

<p><em>6. When playing with random numbers don't forget to save the seed</em></p>

<hr>

<p>While it is ok to use <code>atRandom</code>, such a practice should only be used with ""toy"" code. If you are developing a system or a library, the recommended practice is to save the seed somewhere before generating any random data. This will allow you to reproduce the generation of random quantities later on for the sake of debugging or confirmation. (Note however, that this will not suffice for making your program deterministically reproducible because unordered (e.g. hashed) collections could form differently in successive executions.)</p>
"
"How Exactly Do You Build A GUI Application in Squeak","<smalltalk><pharo><squeak>","<p>All the tools that i searched are 2005 or 2006 and so i dont even dare to try those. I understand that morphic is ok , but i am looking for something like Morphic Designer.</p>

<p><a href=""http://www.youtube.com/watch?v=rmlgU5p4g3o"">http://www.youtube.com/watch?v=rmlgU5p4g3o</a></p>

<p>If you look at this link you will feel all excited and will be tempted to try it out. But unfortunately in todays squeak you cannot even load those mentioned packages. Its a pity. Any help is appreciated.</p>
","5330","2013-12-22 16:46:42","6","5","Question","",""
"Native standalone executable with smalltalk?","<smalltalk><pharo>","<p>I really like live smalltalk environment (though I only experimented a bit with Pharo), but there is one thing why I can't really use it for everyday development. It seems that it is not possible to create a native standalone executable from smalltalk system. The native standalone executable means to create a single executable file (PE on windows, ELF on linux, Mach-O on macosx), that a user could run by double clicking it without the need to install any additional execution environments. Am I missing something and it is in fact possible to create native standalone executable with smalltalk?</p>

<p>If we talk about Pharo specifically. I know that Pharo's environment includes efficient just in time compiler (that generates true native code from Pharo's VM bytecode), I know that the VM image can be stripped down by cutting of the code that my application won't ever need. So basically we already have almost everything (except the linker I guess) to be able to create native standalone executables. Cross-compilation shouldn't be a problem too, if we put all code generation stuff (for all target processors) in the image.</p>

<p>I know that in smalltalk world it is considered to be a good thing to deliver the whole VM image separately from the runtime environment, so the user can hack on software he/she is using. However I don't see any good reasons why it shouldn't be possible to deliver your smalltalk software as fully compiled native standalone executable. Could you please explain me why it is not a common thing to do in smalltalk world? Is there any good smalltalk implementation that allow to do it?</p>

<p>To sum all this. I dream of a live smalltalk environment, where I could develop and test my software, but then (when the software is actually ready for delivery) cross-compile it to native executables for windows, linux and macosx from my single development machine. That would be really awesome.</p>
","5250","2015-08-03 18:29:53","1","7","Question","",""
"How to access class variables in Smalltalk","<class><variables><smalltalk><pharo><squeak>","<p>I am trying to access a class variable in one of my classes in Smalltalk. </p>

<p>I have two classes: Class1 and Class2.</p>

<p>Class1 has the following variables: year month day hour minute. 
Class2 has the following variables: start-time end-time.
In the initialize method for Class2 I have the following:</p>

<pre><code>start-time := Class1 new.
end-time := Class1 new.
</code></pre>

<p>Now I want to assign the year 2012 to start-time, how do I access the year variable in the Class1 object start-time? </p>
","5050","2015-12-02 18:28:04","0","2","Question","","<p>Since you are sending <code>new</code> message to the classes I will assume that you are interested in <em>instance variables</em>, and not <em>class variables</em> (shared variables) (see Pharo Object Model in <a href=""https://ci.inria.fr/pharo-contribution/job/UpdatedPharoByExample/lastSuccessfulBuild/artifact/book-result/PharoObjectModel/PharoObjectModel.html#sec:classVars"" rel=""nofollow"">Updated Pharo By Example</a> to understand the differences).</p>

<p>In Pharo all class/instance variables are private, thus the way to access them is to create accessors.</p>

<p>Add to your Class1 methods</p>

<pre><code>Class1&gt;&gt;year
    ^ year

Class1&gt;&gt;year: aYear
    year := aYear
</code></pre>

<p>And then you can send the message to the class with the appropriate value:</p>

<pre><code>Class2&gt;&gt;initialize
    startTime := Class1 new.
    startTime year: 2012.

    ""or by using a cascade""
    startTime := Class1 new
        year: 2012;
        yourself.
</code></pre>

<p>If for whatever reason you needed to access a variable without accessors, you can use metaprogramming:</p>

<pre><code>startTime instVarNamed: #year ""meta-getter""
startTime instVarNamed: #year put: 2012 ""meta-setter""
</code></pre>

<p>Finally, <code>'start-time'</code> is not a valid variable name.</p>
"
"Pharo method with multiple arguments","<pharo>","<p>I am creating a Pharo Class method that takes 3 arguments. I am using the following code and it gives me the error ""Variable or expression expected..""</p>

<pre><code>    MethodName: arg1:argValue1 arg2:argValue2
    ^ self var1: argValue1 var2: self var3: argValue2
</code></pre>

<p>What would be the correct method declaration syntax? Later on, I intend on calling this method like below :</p>

<pre><code>    ClassName var1: argValue1 var2: self var3: argValue2
</code></pre>
","4848","2015-06-12 01:23:50","0","2","Question","","<p>The bit that you have to understand when it comes to naming methods in Smalltalk is that the method can be split into multiple parts, delimited by colons (<code>:</code>), and that the arguments are inserted after each of those colons. Semantically, that makes a lot of sense, and allows you to use good naming practices so that your code reads almost like an English sentence (which is why the language was named <em>Smalltalk</em>).</p>

<p>So for a method that, in Java or a similar ""curly bracket language"", might look something like this:</p>

<pre><code>registerUser(String emailAddress, String password, boolean isAdmin) {...}
</code></pre>

<p>you would split up the method name in the declaration to fit the arguments, like this:</p>

<pre><code>registerUserWithEmail: anEmailAddress password: aPassword isAdmin: aBoolean
</code></pre>

<p>making the <em>method name</em> (often prefixed with <code>#</code> in Smalltalk because it is registered as a ""symbol"" in a global dictionary):</p>

<pre><code>#registerUserWithEmail:password:isAdmin:
</code></pre>

<p>That whole thing is the method name, and when calling it, you'd insert the appropriate arguments after the colons (let's assume this method is defined in the class <code>UserRegistry</code>):</p>

<pre><code>UserRegistry
    registerUserWithEmail: 'joe@bloggs.com'
    password: 'topSecret'
    isAdmin: true
</code></pre>

<p>Of course you can leave all that on one line, depending on its length and your readability preferences.</p>

<p>Getting back to your case, you had this:</p>

<pre><code>MethodName: arg1:argValue1 arg2:argValue2
</code></pre>

<p>The problem to which your compiler is trying to alert you when it says ""Variable or expression expected"" is that there's nothing between <code>MethodName:</code> and <code>arg1:</code>. I think you may have assumed that <code>MethodName:</code> wasn't part of the <em>method name</em> but part of the definition.</p>

<p>Some notes:</p>

<ul>
<li>by convention, method names use lowerCamelCase</li>
<li><code>#methodName:arg1:arg2:</code> wouldn't make a very good method name in Smalltalk, because the name should describe what it does and, when arguments come into play, what arguments are expected; the same goes for <code>#var1:var2:var3:</code></li>
<li>if you're going to be calling this method by sending a message to <code>ClassName</code>, then that method needs to be defined on the class side of <code>ClassName</code>, not on the instance side</li>
<li>think about what you're calling/passing in your example - unless you're doing something complicated with a hierarchy of objects, there may not be much point in sending a message to <code>self</code> with one of the arguments being <code>self</code> as well; ask yourself whether you can simplify something there (hard to be more concrete without knowing what you're trying to do)</li>
</ul>
"
"making a constructor in Pharo or Smalltalk","<smalltalk><pharo>","<p>I want to implement a small class in Pharo so I have done this:</p>

<pre><code>Object subclass: #Person
    instanceVariableNames: 'name age'
    classVariableNames: ''
    category: 'Test'
</code></pre>

<p>and I want to simulate a constructor so I have made a method like the following:</p>

<pre><code>newName:aName newAge:aAge
    ""comment stating purpose of message""

    name:=aName.
    age:=aAge.
    ^self.
</code></pre>

<p>but when I want to call it from the playground in Pharo like this:</p>

<pre><code>objPerson:=Person newName:'Carl' newAge: 10.
</code></pre>

<p>it is not recognized by Pharo, what am I doing wrong?</p>
","4410","2016-04-27 01:36:11","0","2","Question","","<p>The expression <code>Person newName: 'Carl' newAge: 10</code> is a message to the class object <code>Person</code>. Therefore you have to implement it on the class side of <code>Person</code>.</p>

<p>Your code needs to be tweaked like this</p>

<pre><code>Person class &gt;&gt; newName: aName newAge: anAge
  | person |
  person := self new.
  person name: aName.
  person age: anAge.
  ^person
</code></pre>

<p>Note that in the code above <code>self</code> refers to the class because the method is on the class side. But since <code>person</code> is an instance of <code>Person</code>, the messages <code>name: aName</code> and <code>age: anAge</code> have to be defined on the instance side.</p>

<p>Therefore, on the instance side, you need to add the two setters:</p>

<pre><code>Person &gt;&gt; name: aString
  name := aString

Person &gt;&gt; age: anInteger
  age := anInteger
</code></pre>

<p>With these three methods you should be able to run your example.</p>

<hr>

<p>Some additional comments on the coding style:</p>

<p>Firstly, I would have chosen a different selector for the ""constructor"" method (in Smalltalk we call these ""instance creation"" methods). For instance,</p>

<pre><code>Person class &gt;&gt; named: aString age: anInteger
  ^self new name: aString; age: anInteger
</code></pre>

<p>Secondly, there is no need to use the temporary <code>person</code> for the newly created instance as the expression <code>self new</code> already refers to such an instance.</p>

<p>Finally, note the use of the cascade syntax in</p>

<pre><code>^self new name: aString; age: anInteger
</code></pre>

<p>which means that the message <code>age: anInteger</code> will be sent to the same receiver that <code>name: aString</code>, which in this case happens to be the new instance returned by <code>self new</code>.</p>
"
"What is the difference between = and == in Pharo Smalltalk?","<smalltalk><pharo>","<p>What is the difference between <code>=</code> and <code>==</code> in Pharo Smalltalk? What are they named, one <code>isEqual</code> and the other?</p>

<pre><code>= ~=    equality / inequality (deep)
== ~~   equality / inequality (shallow)
</code></pre>
","4324","2017-01-16 21:05:10","1","3","Question","",""
"SmallTalk - Printing contents of an OrderedCollection object using Transcript","<smalltalk><pharo>","<pre><code>|oc|
oc := OrderedCollection new. 
oc add: 2.
oc add: #(4 9).
oc Transcript show: self; cr.
</code></pre>

<p>Upon running the following code in Pharo, I am getting the message:</p>

<p><strong>MessageNotUnderstood: OrderedCollection>> Transcript</strong></p>

<p>When replacing 'self' with 'oc' I am still getting the same error. I am looking for a way to output the collection using the Transcript. </p>

<p>Why can't Transcript be the receiver of my code?</p>
","4235","2014-10-15 17:52:56","0","3","Question","","<p>Remember the <code>object message: parameter</code> syntax: you're trying to send the <code>Transcript</code> message to the <code>oc</code> object, and then send the <code>show:</code> message to the object returned by that, with the <code>self</code> parameter.</p>

<p>What you really want to do is ask the <code>Transcript</code> object to <code>show:</code> your <code>oc</code> object. So, do that: send <code>Transcript</code> the <code>show:</code> message with <code>oc</code> as a parameter: <code>Transcript show: oc</code>. That will show the string representation of the collection.</p>

<p>If you were to <em>print each member of the collection</em> (instead of printing <em>the collection</em> itself), you should use the <code>do:</code> method to iterate over them: <code>oc do: [ :element | Transcript show: element ]</code>. Here you print <em>each of the collection's member</em> string representation.</p>

<pre><code>oc := OrderedCollection new. 
oc add: 2.
oc add: #(4 9).
Transcript show: 'Show the collection:'; cr.
Transcript show: oc; cr.
Transcript show: 'Show each element:'; cr.
oc do: [ :element | Transcript show: element; cr ].
</code></pre>

<p>Gives this output:</p>

<pre><code>Show the collection:
an OrderedCollection(2 #(4 9))
Show each element:
2
#(4 9)
</code></pre>
"
